J,R,E,M,E_Num,algo,n_subtypes,mallows_temperature,kendalls_w,runtime,kendalls_tau,subtype_acc,mean_stage_healthy,runtime_cross_validation,absolute_error_n_subtypes,relative_error,correct_bool
300,0.25,Exp 10: xi (Normal) & Continuous kj (Skewed) & X (Sigmoid),9,10,Random Guessing,3,0.15317107485547746,0.4405594405594406,0.0,0.4646464646464647,-0.0016644044315015428,7.013513513513513,,1.0,100,100
300,0.25,Exp 10: xi (Normal) & Continuous kj (Skewed) & X (Sigmoid),9,10,SuStaIn (GMM),3,0.15317107485547746,0.4405594405594406,2.9180086930592855,0.44949494949494945,0.3147292468736623,7.121621621621622,,,100,100
300,0.25,Exp 10: xi (Normal) & Continuous kj (Skewed) & X (Sigmoid),9,10,SuStaIn (KDE),3,0.15317107485547746,0.4405594405594406,2.74733939965566,0.45454545454545453,0.8043391056835126,1.6756756756756757,,,100,100
300,0.25,Exp 11: xi (Normal) & Continuous kj (Skewed) & X (Normal),0,11,BebmS,4,0.0649282178020516,0.12674825174825174,2.195352482795715,0.29166666666666663,0.10152899634581698,0.0547945205479452,,,100,100
300,0.25,Exp 11: xi (Normal) & Continuous kj (Skewed) & X (Normal),0,11,BebmS (Blind),4,0.0649282178020516,0.12674825174825174,2.8529563744862876,0.3446969696969697,0.14218642744903104,0.0821917808219178,,3.0,100,100
300,0.25,Exp 11: xi (Normal) & Continuous kj (Skewed) & X (Normal),0,11,Random Guessing,4,0.0649282178020516,0.12674825174825174,0.0,0.41287878787878785,-0.003899836667437792,5.47945205479452,,3.0,100,100
300,0.25,Exp 11: xi (Normal) & Continuous kj (Skewed) & X (Normal),0,11,SuStaIn (GMM),4,0.0649282178020516,0.12674825174825174,6.27341267267863,0.36742424242424243,0.07298509760452665,2.9726027397260273,,,100,100
300,0.25,Exp 11: xi (Normal) & Continuous kj (Skewed) & X (Normal),0,11,SuStaIn (KDE),4,0.0649282178020516,0.12674825174825174,6.13839803536733,0.3106060606060606,0.02472832193281338,1.8356164383561644,,,100,100
300,0.25,Exp 11: xi (Normal) & Continuous kj (Skewed) & X (Normal),1,11,BebmS,5,0.3428801258852382,0.4998601398601399,3.0975706775983176,0.27575757575757576,0.02714801962225376,0.0684931506849315,,,100,100
300,0.25,Exp 11: xi (Normal) & Continuous kj (Skewed) & X (Normal),1,11,BebmS (Blind),5,0.3428801258852382,0.4998601398601399,3.9360636830329896,0.3181818181818182,0.024526001977476827,0.2191780821917808,,4.0,100,100
300,0.25,Exp 11: xi (Normal) & Continuous kj (Skewed) & X (Normal),1,11,Random Guessing,5,0.3428801258852382,0.4998601398601399,0.0,0.4424242424242424,-0.00012600592786307858,6.876712328767123,,4.0,100,100
300,0.25,Exp 11: xi (Normal) & Continuous kj (Skewed) & X (Normal),1,11,SuStaIn (GMM),5,0.3428801258852382,0.4998601398601399,10.207064958413442,0.4424242424242424,0.04771815158567643,2.863013698630137,,,100,100
300,0.25,Exp 11: xi (Normal) & Continuous kj (Skewed) & X (Normal),1,11,SuStaIn (KDE),5,0.3428801258852382,0.4998601398601399,9.448340769608816,0.36363636363636365,0.030834659594028663,2.493150684931507,,,100,100
300,0.25,Exp 11: xi (Normal) & Continuous kj (Skewed) & X (Normal),2,11,BebmS,3,0.2698338306242485,0.5462315462315462,2.323830552895864,0.23232323232323235,0.2090547757643932,0.0,,,100,100
300,0.25,Exp 11: xi (Normal) & Continuous kj (Skewed) & X (Normal),2,11,BebmS (Blind),3,0.2698338306242485,0.5462315462315462,2.717391884326935,0.202020202020202,0.0807742068907432,0.04,,1.0,100,100
300,0.25,Exp 11: xi (Normal) & Continuous kj (Skewed) & X (Normal),2,11,Random Guessing,3,0.2698338306242485,0.5462315462315462,0.0,0.4898989898989899,-0.0004627979095079795,6.666666666666667,,1.0,100,100
300,0.25,Exp 11: xi (Normal) & Continuous kj (Skewed) & X (Normal),2,11,SuStaIn (GMM),3,0.2698338306242485,0.5462315462315462,4.354577358563741,0.32323232323232326,0.08815950695481911,2.44,,,100,100
300,0.25,Exp 11: xi (Normal) & Continuous kj (Skewed) & X (Normal),2,11,SuStaIn (KDE),3,0.2698338306242485,0.5462315462315462,3.786475129922231,0.22222222222222224,0.012871725269291572,1.76,,,100,100
300,0.25,Exp 11: xi (Normal) & Continuous kj (Skewed) & X (Normal),3,11,BebmS,2,0.4454515503648646,0.6713286713286714,0.9913575927416484,0.28787878787878785,-0.002561550747090468,0.05333333333333334,,,100,100
300,0.25,Exp 11: xi (Normal) & Continuous kj (Skewed) & X (Normal),3,11,BebmS (Blind),2,0.4454515503648646,0.6713286713286714,1.075291633605957,0.28787878787878785,-0.004715232522285623,0.12,,1.0,100,100
300,0.25,Exp 11: xi (Normal) & Continuous kj (Skewed) & X (Normal),3,11,Random Guessing,2,0.4454515503648646,0.6713286713286714,0.0,0.4772727272727273,-0.0012255368867553117,6.093333333333334,,1.0,100,100
300,0.25,Exp 11: xi (Normal) & Continuous kj (Skewed) & X (Normal),3,11,SuStaIn (GMM),2,0.4454515503648646,0.6713286713286714,1.5247581521670024,0.2727272727272727,-0.02417460572195556,3.3466666666666667,,,100,100
300,0.25,Exp 11: xi (Normal) & Continuous kj (Skewed) & X (Normal),3,11,SuStaIn (KDE),2,0.4454515503648646,0.6713286713286714,1.428621518611908,0.3333333333333333,0.018551365922196156,2.533333333333333,,,100,100
300,0.25,Exp 11: xi (Normal) & Continuous kj (Skewed) & X (Normal),4,11,BebmS,3,0.4754047898296258,0.7156177156177156,1.8116196473439534,0.37878787878787873,-0.013185527663227656,0.0,,,100,100
300,0.25,Exp 11: xi (Normal) & Continuous kj (Skewed) & X (Normal),4,11,BebmS (Blind),3,0.4754047898296258,0.7156177156177156,2.580202555656433,0.196969696969697,-0.04163283571558375,0.0,,3.0,100,100
300,0.25,Exp 11: xi (Normal) & Continuous kj (Skewed) & X (Normal),4,11,Random Guessing,3,0.4754047898296258,0.7156177156177156,0.0,0.398989898989899,-0.0014595343407840962,6.283783783783784,,3.0,100,100
300,0.25,Exp 11: xi (Normal) & Continuous kj (Skewed) & X (Normal),4,11,SuStaIn (GMM),3,0.4754047898296258,0.7156177156177156,4.043053694566091,0.3181818181818182,-0.013803928121035071,2.7027027027027026,,,100,100
300,0.25,Exp 11: xi (Normal) & Continuous kj (Skewed) & X (Normal),4,11,SuStaIn (KDE),3,0.4754047898296258,0.7156177156177156,3.580001711845398,0.29797979797979796,0.014775232398466714,3.5945945945945947,,,100,100
300,0.25,Exp 11: xi (Normal) & Continuous kj (Skewed) & X (Normal),5,11,BebmS,5,0.4112200821011321,0.5110489510489511,3.145286242167155,0.30606060606060603,0.016578620313080997,0.04054054054054054,,,100,100
300,0.25,Exp 11: xi (Normal) & Continuous kj (Skewed) & X (Normal),5,11,BebmS (Blind),5,0.4112200821011321,0.5110489510489511,3.2572616140047708,0.33030303030303027,0.14310902597238878,0.08108108108108109,,1.0,100,100
300,0.25,Exp 11: xi (Normal) & Continuous kj (Skewed) & X (Normal),5,11,Random Guessing,5,0.4112200821011321,0.5110489510489511,0.0,0.36363636363636365,-0.006720087483052006,6.013513513513513,,1.0,100,100
300,0.25,Exp 11: xi (Normal) & Continuous kj (Skewed) & X (Normal),5,11,SuStaIn (GMM),5,0.4112200821011321,0.5110489510489511,10.013480230172474,0.23333333333333334,0.13252895636315326,3.77027027027027,,,100,100
300,0.25,Exp 11: xi (Normal) & Continuous kj (Skewed) & X (Normal),5,11,SuStaIn (KDE),5,0.4112200821011321,0.5110489510489511,8.787253526846568,0.2909090909090909,0.040525604045678766,2.527027027027027,,,100,100
300,0.25,Exp 11: xi (Normal) & Continuous kj (Skewed) & X (Normal),6,11,BebmS,1,0.11097825952363419,1.0,0.9447791258494059,0.13636363636363635,,0.02666666666666667,,,100,100
300,0.25,Exp 11: xi (Normal) & Continuous kj (Skewed) & X (Normal),6,11,BebmS (Blind),1,0.11097825952363419,1.0,0.9892383257548014,0.10606060606060606,,0.0,,3.0,100,100
300,0.25,Exp 11: xi (Normal) & Continuous kj (Skewed) & X (Normal),6,11,Random Guessing,1,0.11097825952363419,1.0,0.0,0.3939393939393939,,6.053333333333334,,3.0,100,100
300,0.25,Exp 11: xi (Normal) & Continuous kj (Skewed) & X (Normal),6,11,SuStaIn (GMM),1,0.11097825952363419,1.0,0.7710827628771464,0.30303030303030304,,0.8,,,100,100
300,0.25,Exp 11: xi (Normal) & Continuous kj (Skewed) & X (Normal),6,11,SuStaIn (KDE),1,0.11097825952363419,1.0,0.730880872408549,0.13636363636363635,,1.48,,,100,100
300,0.25,Exp 11: xi (Normal) & Continuous kj (Skewed) & X (Normal),7,11,BebmS,2,0.08468031895433259,0.7202797202797203,1.5550369580586751,0.19696969696969696,0.059022780764249765,0.08108108108108109,,,100,100
300,0.25,Exp 11: xi (Normal) & Continuous kj (Skewed) & X (Normal),7,11,BebmS (Blind),2,0.08468031895433259,0.7202797202797203,1.884967068831126,0.18181818181818182,0.059022780764249765,0.14864864864864866,,4.0,100,100
300,0.25,Exp 11: xi (Normal) & Continuous kj (Skewed) & X (Normal),7,11,Random Guessing,2,0.08468031895433259,0.7202797202797203,0.0,0.5606060606060606,-0.0036500821474520035,5.202702702702703,,4.0,100,100
300,0.25,Exp 11: xi (Normal) & Continuous kj (Skewed) & X (Normal),7,11,SuStaIn (GMM),2,0.08468031895433259,0.7202797202797203,2.3737271308898924,0.2727272727272727,0.7202303330472148,1.6081081081081081,,,100,100
300,0.25,Exp 11: xi (Normal) & Continuous kj (Skewed) & X (Normal),7,11,SuStaIn (KDE),2,0.08468031895433259,0.7202797202797203,2.2690743645032247,0.45454545454545453,0.007542731008196061,2.6621621621621623,,,100,100
